pali_1,pos,meaning_1,pattern,sbs_class
vinaya 1,masc,discipline; training; lit. leading out,a-masc,2
upāsaka,masc,lay disciple; lay devotee; lit. who sits near,a-masc,2
gotama,masc,family name of the Buddha; lit. of the Gotama clan,a-masc,2
buddha 1,masc,Buddha; Awakened One,a-masc,2
manussa,masc,human being; man; person,a-masc,2
papañca,masc,various opinions; proliferation; endless conceptualization; lit. expanding; spreading,a-masc,2
saṅghādisesa 2,masc,offence requiring suspension; lit. offence requiring involvement of the community from start to finish,a-masc,2
gāma 1,masc,village; hamlet; lit. collection,a-masc,2
ākāsa 2,masc,sky; air,a-masc,2
puggala,masc,person; individual,a-masc,2
dhamma 1.09,masc,law; case; rule,a-masc,2
ābādha,masc,disease; sickness; illness; affliction,a-masc,2
vassa 2,masc,rainy season; monsoon,a-masc,2
thera 1.2,masc,(vinaya) elder; senior monk; monk with ten or more years as a monk; lit. lasting,a-masc,2
cāga 2,masc,generosity; sharing; liberality,a-masc,2
putta 1,masc,son; child,a-masc,2
dhamma 1.03,masc,teaching; discourse; doctrine,a-masc,2
ñāya,masc,method; system; means; way,a-masc,2
tathāgata,masc,Such Become; Realised; being in such a state; arrived at the truth; epithet of the Buddha,a-masc,2
khandha 3,masc,aggregate; combination; conglomeration,a-masc,2
loma 1,masc,body hair,a-masc,2
saṅkhāra 3,masc,mental formation; mental activity; thought processes; fourth of the five aggregates; lit. making together,a-masc,2
attha 1.1,masc,meaning; sense; significance,a-masc,2
sāriputta,masc,name of a monk; chief disciple; great disciple of the Buddha; foremost disciple in great wisdom; lit. son of Sāri,a-masc,2
uposatha 1,masc,full moon or new moon observance day,a-masc,2
puthujjana,masc,common man; ordinary man; normal person; man in the street; lit. individual person,a-masc,2
samatikkama,masc,surpassing (of); overcoming (of); going beyond; transcendence,a-masc,2
upasama,masc,calmness (of); tranquillisation (of); stillness (of); peace (of),a-masc,2
parikkhāra 1,masc,requisite; requirement; necessity; accessory; everyday item,a-masc,2
patha 2,masc,range; mode; way,a-masc,2
ānanda 2,masc,"name of the Buddha's attendant; great disciple of the Buddha; foremost disciple in great learning, remembrance, conduct, resoluteness and service; lit. happiness",a-masc,2
daṇḍa 1,masc,stick; truncheon; nightstick; club,a-masc,2
abyāpāda,masc,goodwill; kindness; friendliness; benevolence; lit. not ill-will,a-masc,2
hattha 1,masc,hand,a-masc,2
niraya,masc,hell; hell realm; lit. no good fortune,a-masc,2
brāhmaṇa 1,masc,Brahman; priest; man of the Brahman caste,a-masc,2
samaṇa 1,masc,ascetic; renunciant; holy man; monk; recluse; lit. who makes an effort; calm one,a-masc,2
vinipāta,masc,state of suffering; purgatory; underworld; lit. bad fall,a-masc,2
bhava 2,masc,being; becoming; existence,a-masc,2
moha 1,masc,illusion; delusion; hallucination,a-masc,2
manasikāra,masc,attention; bringing-to-mind; observation; noticing; focussing; lit. making in mind,a-masc,2
rasa 1,masc,taste; flavour,a-masc,2
upāyāsa,masc,affliction; difficulty; trouble,a-masc,2
parideva,masc,lamentation; wailing; crying,a-masc,2
soka,masc,grief; sorrow; sadness,a-masc,2
nara,masc,man; person,a-masc,2
ācariya 1,masc,teacher; religious leader,a-masc,2
upajjhāya,masc,preceptor; teacher,a-masc,2
virāga 1.1,masc,fading of desire (for); dispassion (towards); detachment (from); indifference (to),a-masc,2
sekha,masc,trainee; apprentice; learner: (comm) seven stages of a noble person before arahantship,a-masc,2
dhamma 1.02,masc,quality; characteristic; trait; inherent quality,a-masc,2
āsava 2,masc,discharge; suppuration; outflow; effluent,a-masc,2
samatha 1.1,masc,stilling (of); serenity (of); calming (of); settling (of); peace (of); (comm) mental unification,a-masc,2
loka 1,masc,world; universe; cosmos,a-masc,2
rukkha,masc,tree,a-masc,2
kāya 1.1,masc,body; physical body; physical process,a-masc,2
deva 1,masc,deity; god,a-masc,2
sāvaka,masc,disciple; pupil; follower; lit. hearer,a-masc,2
anusaya,masc,underlying tendency (to); inherent inclination (to); dormant disposition (towards); lit. sleeping alongside,a-masc,2
virāga 2.1,masc,fading (of); disappearance (of); cessation (of); destruction (of),a-masc,2
samaya 1.1,masc,time; occasion; lit. come together,a-masc,2
saṅgha 1,masc,community; monastic order; assembly of monks,a-masc,2
sīha 1,masc,lion,a-masc,2
dhamma 1.05,masc,mental states,a-masc,2
bheda 1,masc,death; lit. breakup,a-masc,2
māṇava,masc,young man; young gentleman; young Brahman,a-masc,2
